YEARMODA,actual,lower,predict,upper
2015-01-01,78.3226,75.7389,77.7065,79.674
2015-02-01,80.45,78.1143,80.1114,82.1085
2015-03-01,85.3774,83.2984,85.3049,87.3114
2015-04-01,87.2267,87.0738,89.0803,91.0869
2015-05-01,87.3065,87.8111,89.8186,91.8262
2015-06-01,87.4133,87.3664,89.3739,91.3813
2015-07-01,89.4548,85.9279,87.9371,89.9462
2015-08-01,88.0065,85.0889,87.0981,89.1072
2015-09-01,87.43,83.5315,85.5521,87.5727
2015-10-01,83.3129,81.7379,83.7581,85.7783
2015-11-01,79.0067,78.4683,80.4882,82.5081
2015-12-01,78.3548,75.1776,77.198,79.2184
2016-01-01,78.529,75.4055,77.4259,79.4462
2016-02-01,81.7897,78.3871,80.4096,82.4321
2016-03-01,86.6258,83.1614,85.1842,87.207
2016-04-01,91.87,86.6375,88.6631,90.6887
2016-05-01,88.7806,88.2567,90.286,92.3152
2016-06-01,87.4867,87.476,89.5054,91.5349
2016-07-01,87.0677,85.6028,87.6318,89.6608
2016-08-01,87.671,85.0255,87.0559,89.0863
2016-09-01,87.16,83.8952,85.9261,87.957
2016-10-01,85.429,81.6741,83.7054,85.7367
2016-11-01,81.8138,78.1231,80.1579,82.1927
2016-12-01,79.0968,75.5439,77.5825,79.621
